FlareID_1,Start_Time_1,Peak_Time_1,End_Time_1,hgs_lon_1,hgs_lat_1,hgc_lon_1,hgc_lat_1,total_counts_1,energy_keV_1,AR_1,FlareID_2,Start_Time_2,Peak_Time_2,End_Time_2,hgs_lon_2,hgs_lat_2,hgc_lon_2,hgc_lat_2,total_counts_2,energy_keV_2,AR_2
2062670,2002-06-26 20:01:08,2002-06-26 20:02:18,2002-06-26 20:04:08,-9.76869984445358,-12.505894454091273,256.3361454834824,-12.50589445409127,13266,6-12,11,2062608,2002-06-26 20:04:08,2002-06-26 20:09:18,2002-06-26 20:16:52,29.319201401111812,-11.849835911480186,295.39646964417614,-11.84983591148019,735354,12-25,8
2062649,2002-06-26 20:18:04,2002-06-26 20:18:58,2002-06-26 20:20:20,29.57028884993528,-12.728717581423473,295.51947686094803,-12.728717581423476,15555,6-12,8,2062651,2002-06-26 21:45:28,2002-06-26 21:46:54,2002-06-26 21:48:16,-9.775097165084505,-10.93930759893195,255.3706787295099,-10.93930759893195,15972,6-12,11
2062868,2002-06-28 00:08:00,2002-06-28 00:12:58,2002-06-28 00:17:52,5.0888944841601775,-9.1794817546047,255.68753816450877,-9.179481754604703,80715,6-12,11,2062869,2002-06-28 01:04:28,2002-06-28 01:04:58,2002-06-28 01:06:12,43.6424535614028,-7.356725792180561,293.7220414008472,-7.356725792180561,7508,6-12,8
2070201,2002-07-01 23:58:40,2002-07-01 00:04:30,2002-07-01 00:12:16,-44.46136052167566,-16.377930307364913,153.2771256653585,-16.377930307364913,164827,12-25,19,2070280,2002-07-02 00:12:16,2002-07-02 00:32:34,2002-07-02 00:41:16,14.536076183820525,-18.87844554550571,212.1495550265292,-18.87844554550571,1309883,6-12,16
2070280,2002-07-02 00:12:16,2002-07-02 00:32:34,2002-07-02 00:41:16,14.536076183820525,-18.87844554550571,212.1495550265292,-18.87844554550571,1309883,6-12,16,2070281,2002-07-02 00:41:16,2002-07-02 00:44:02,2002-07-02 00:51:08,36.9946236405682,-19.79611192752385,234.34154277419685,-19.79611192752385,299031,12-25,17
2072747,2002-07-27 23:53:44,2002-07-27 23:54:22,2002-07-27 23:58:36,-23.896497688908823,-6.195062208787139,189.84364523705463,-6.195062208787139,50738,6-12,50,20728162,2002-07-28 01:04:40,2002-07-28 01:05:18,2002-07-28 01:06:00,-1.6366081362415343,-22.650797891320394,211.45193816785107,-22.650797891320394,3670,12-25,44
20728138,2002-07-28 01:11:20,2002-07-28 01:15:38,2002-07-28 01:24:32,1.1432601026834248,-18.014280079603846,214.17056618563876,-18.014280079603846,231744,12-25,44,20728114,2002-07-28 02:25:56,2002-07-28 02:29:10,2002-07-28 02:32:04,-19.14193940181417,-6.6337474528755065,193.20008934431144,-6.6337474528755065,103683,6-12,50
2072916,2002-07-29 15:56:24,2002-07-29 15:58:38,2002-07-29 16:14:00,1.5838535210038944,-7.624552394229643,193.25369095907564,-7.624552394229643,172324,12-25,50,2072988,2002-07-29 17:03:12,2002-07-29 17:04:30,2002-07-29 17:07:12,23.16835394429189,-20.28329732907526,214.2246037447104,-20.28329732907526,24105,12-25,44
20731128,2002-07-31 07:57:16,2002-07-31 08:02:58,2002-07-31 08:14:36,43.92279907793685,-19.436968246826844,213.54033625889107,-19.436968246826847,1893847,12-25,44,20731155,2002-07-31 09:16:32,2002-07-31 09:19:58,2002-07-31 09:25:24,24.12656394798367,-9.061451011338391,193.01605132978813,-9.061451011338391,241924,12-25,50
2080272,2002-08-02 01:17:24,2002-08-02 01:28:06,2002-08-02 01:36:24,51.61940880023276,-8.397584090815744,198.45817225863192,-8.397584090815744,4226543,12-25,50,2080299,2002-08-02 02:47:20,2002-08-02 02:48:02,2002-08-02 02:48:56,2.1933482461658054,-7.799385214515045,148.2061505565755,-7.799385214515043,18657,6-12,57
